"id","squareMeters","rooms1","rooms2","rooms3","centreDistance","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","ownership","buildingMaterial","condition","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","first_floor","top_floor","age","block","apartmentB","tenement","stolica"
"56f686ae4f6f46502fbe4115d60e19ce",76.3,0,1,0,10940,308,210,341,232,153,1164,126,"0","1","1","0","1","0","0","1",1068000,0,1,31,1,0,0,1
"cd970ae650fa199ffd73d39caf699ec0",84.2,0,1,0,5790,306,807,123,135,11,306,74,"1","1","1","0","1","1","0","1",1244000,0,0,14,0,1,0,1
"c1d5db585d02ae3962c433f70b3e8c50",49,1,0,0,4060,67,403,432,203,200,144,260,"1","1","1","1","0","1","0","0",935000,0,0,3,0,1,0,1
"210351424f733126804e2c1d32950d0a",125,0,0,1,6200,527,1386,1050,248,229,3069,494,"1","1","0","1","1","0","0","1",1937500,0,0,21,0,1,0,1
"7db91089a97e8e221ae98e29a9d20559",37.5,1,0,0,7440,172,793,276,166,297,3002,37,"1","0","0","0","1","1","0","1",499000,0,0,62,1,0,0,1
"df601c1b136f6b8dd683ab9b224e037a",58,0,1,0,4750,396,972,594,340,111,2013,390,"1","1","1","1","1","1","0","0",1050000,0,0,10,0,1,0,1
"95a83d9355125629436ed8e2a7ea24cd",96.4,0,1,0,4730,531,610,250,166,134,1037,232,"1","1","1","1","0","1","0","0",1690000,1,0,15,0,1,0,1
"e18004eea87c67d59bec589e93428836",81,0,1,0,8330,496,1759,111,67,238,2255,355,"1","1","1","1","1","1","0","0",1150000,0,0,6,0,1,0,1
"cc1104f0c568dd7c20a8f82f01582c43",73,0,1,0,7390,605,1036,45,210,22,1216,31,"0","0","0","0","1","1","0","0",799000,0,1,53,1,0,0,1
"5815847c9b9109e9f883636c17661218",45,1,0,0,12000,321,881,116,267,381,2242,152,"1","1","1","0","0","1","0","0",614990,0,0,21,1,0,0,1
"eb10bdab44e4eab10ade69523ee04600",100,0,1,0,6480,345,203,388,494,113,2133,283,"1","1","1","1","0","1","0","1",1650000,0,0,9,0,1,0,1
"f2351268dd87e54ea82b7c135636f1e3",48.75,1,0,0,1820,87,506,356,101,155,162,221,"1","1","0","0","0","0","0","1",850000,1,0,73,0,0,1,1
"83ba4cb95b6864bb6dcc0070105ceea9",66.34,0,1,0,3590,164,157,508,372,211,477,380,"1","1","1","1","1","1","0","0",1150000,1,0,12,0,1,0,1
"17f0f04843c759d955e915f5090025b5",71.8,0,1,0,2140,161,547,746,166,109,1557,75,"0","1","1","0","1","0","0","1",1020000,0,1,66,1,0,0,1
"8538b8d71dbf9606656ea350d229df8a",56.65,0,1,0,6010,480,1269,527,105,381,2562,394,"1","1","1","1","1","1","0","0",1150000,0,1,15,0,1,0,1
"e586a78cbb99a308513bab7728f2ed6a",55,1,0,0,2880,259,357,643,310,351,1128,429,"1","1","1","0","1","1","0","0",935000,0,0,32,1,0,0,1
"990e8fac79e4c98a5dd10e6c4025d8a0",47.87,1,0,0,2400,117,189,203,58,150,119,126,"1","1","0","0","1","0","0","0",850000,0,0,66,1,0,0,1
"f888641bc1a594eaf400c31d0a289f77",90,0,1,0,1800,109,87,253,61,95,483,172,"1","1","0","0","1","1","0","1",2150000,0,0,92,0,0,1,1
"fc25f8075f46640a5dfbd8ec33640dcf",53,1,0,0,9090,396,1162,22,308,103,1686,149,"1","1","1","1","1","0","0","0",1050000,0,0,12,0,1,0,1
"a9addd12caedd81f10240f3e52402218",36.66,1,0,0,3510,168,677,132,232,37,971,7,"1","0","1","0","0","1","0","0",670000,1,0,60,1,0,0,1
"0eac799dc41bc1a328a1123b401f658d",36.5,1,0,0,4890,274,991,365,191,134,2229,576,"0","0","0","0","1","1","0","1",625000,0,0,58,1,0,0,1
